horario,precio,aerolinea,paradas,enlace
19:00-20:48,247800.0,"Viva Air Colombia, LATAM Airlines",directo ,https://www.kayak.com.cojavascript:void(0)
11:12-13:02,465000.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.11765.efa8dabca6051f15e1cfeb26ae33c1a7&h=1919a792ad9d&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M32
11:23-13:08,485650.0,"LATAM Airlines, Viva Air Colombia",directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.iPJIaPv5Rj5w1Q3KrTU5Gg.12288.ce43a46d15507d7f7a83d0ef0f2fd441&h=cca37f2e1aec&sub=E-11c2338feb2&pageOrigin=F..RP.MB.M33
8:42-12:30,280224.0,LATAM Airlines,BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.lPAzY077B9kUPBPf-jqMFw.7090.f6989144c17e24786f6b26a80d210eb2&h=4e57e6b2fb5a&sub=E-1bbb0617601&pageOrigin=F..RP.MB.M34
17:31-19:19,308300.0,"Viva Air Colombia, LATAM Airlines",directo ,https://www.kayak.com.cojavascript:void(0)
19:00-20:48,308300.0,"Viva Air Colombia, LATAM Airlines",directo ,https://www.kayak.com.cojavascript:void(0)
8:42-12:30,345178.0,LATAM Airlines,BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.lPAzY077B9kUPBPf-jqMFw.8734.6593436a70e8b34b5720f14c0e97c5a5&h=4c2b48d51bfa&sub=E-1bbb0617601&pageOrigin=F..RP.MB.M37
15:02-19:30,289500.0,"Avianca, LATAM Airlines",BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.qEot5fi9CI0Edn9PX-8xhQ.7325.b607486a9940474538eb1476b063a65b&h=d0ebc6ff0b00&sub=E-194f1486b22&pageOrigin=F..RP.MB.M38
14:36-19:10,280728.0,LATAM Airlines,BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.lPAzY077B9kUPBPf-jqMFw.7103.96c33cfe08655acd184da4d077bb6552&h=75853d4af7f8&sub=E-1bbb0617601&pageOrigin=F..RP.MB.M39
8:58-13:37,289500.0,"Avianca, LATAM Airlines",BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.qEot5fi9CI0Edn9PX-8xhQ.7325.407d1f99359f7bbed600c9f2c1bbee03&h=86094b82f11e&sub=E-194f1486b22&pageOrigin=F..RP.MB.M40
7:40-12:30,280224.0,LATAM Airlines,BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.lPAzY077B9kUPBPf-jqMFw.7090.07489bd66e2894aca1bfadfed112df84&h=3bcf2ecef2e9&sub=E-1bbb0617601&pageOrigin=F..RP.MB.M41
13:52-17:51,388845.0,"Viva Air Colombia, LATAM Airlines",BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.iPJIaPv5Rj5w1Q3KrTU5Gg.9839.ceeb9595326e2eeca6f3d4ecc741509d&h=eb1450ce86db&sub=E-1bbf3989917&pageOrigin=F..RP.MB.M42
14:36-19:10,345178.0,LATAM Airlines,BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.lPAzY077B9kUPBPf-jqMFw.8734.5b04161cedb34b13feea365ab24dd84f&h=32189ea8ec84&sub=E-1bbb0617601&pageOrigin=F..RP.MB.M43
8:58-13:37,350000.0,"Avianca, LATAM Airlines",BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.qEot5fi9CI0Edn9PX-8xhQ.8856.dff3248f34ced825e6fb7bd52d8c0de2&h=7989f87a0744&sub=E-194f1486b22&pageOrigin=F..RP.MB.M44
7:40-12:30,345178.0,LATAM Airlines,BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.lPAzY077B9kUPBPf-jqMFw.8734.d628251fc548e1e28d6b4ae8628e42e1&h=521b0285ea26&sub=E-1bbb0617601&pageOrigin=F..RP.MB.M46
8:42-12:30,406650.0,"LATAM Airlines, Viva Air Colombia",BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.iPJIaPv5Rj5w1Q3KrTU5Gg.10289.662c98fc8ca0b6d3fbf9070a135f3567&h=3d5854bfb90c&sub=E-1f0f592800b&pageOrigin=F..RP.MB.M47
17:31-19:19,304800.0,"Viva Air Colombia, Avianca",directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.iPJIaPv5Rj5w1Q3KrTU5Gg.7712.eda648a5a4ff164fe43884a509bdc639&h=563700ccff1d&sub=E-1f55a042f32&pageOrigin=F..RP.MB.M48
19:00-20:48,304800.0,"Viva Air Colombia, Avianca",directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.iPJIaPv5Rj5w1Q3KrTU5Gg.7712.3328fc37cc730e2c6aade7cf51d64b66&h=7444deb5d138&sub=E-1f55a042f32&pageOrigin=F..RP.MB.M49
7:40-12:30,320700.0,"LATAM Airlines, Viva Air Colombia",BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.iPJIaPv5Rj5w1Q3KrTU5Gg.8115.f79d64672c6826e126eacb6d8b70a5f9&h=56d3b18394df&sub=E-1f0f592800b&pageOrigin=F..RP.MB.M50
14:02-19:30,289500.0,"Avianca, LATAM Airlines",BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.qEot5fi9CI0Edn9PX-8xhQ.7325.824659703f5069c9c551659e5b32979e&h=711a46fca063&sub=E-194f1486b22&pageOrigin=F..RP.MB.M51
13:52-18:35,388845.0,"Viva Air Colombia, LATAM Airlines",BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.iPJIaPv5Rj5w1Q3KrTU5Gg.9839.e14e415ecdce5160e12d8809dc39acbb&h=303532026780&sub=E-1bbf3989917&pageOrigin=F..RP.MB.M52
7:40-12:30,357150.0,"LATAM Airlines, Viva Air Colombia",BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.iPJIaPv5Rj5w1Q3KrTU5Gg.9037.381d344d9089512aabdd79b3182c733b&h=26bd601814ca&sub=E-1f0f592800b&pageOrigin=F..RP.MB.M53
16:27-22:11,280728.0,LATAM Airlines,BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.lPAzY077B9kUPBPf-jqMFw.7103.8d2f607591229de64dd71acdd0d45711&h=9ace008ddbe8&sub=E-1bbb0617601&pageOrigin=F..RP.MB.M54
6:39-12:30,280224.0,LATAM Airlines,BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.lPAzY077B9kUPBPf-jqMFw.7090.2697341fe1e8396edc09fdbd6e097677&h=27db5132e7a3&sub=E-1bbb0617601&pageOrigin=F..RP.MB.M55
13:52-17:51,471095.0,Viva Air Colombia,BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.11920.fa9f9a99f584ba81ac2e84177050b49a&h=4da1a35d73c9&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M56
17:31-19:19,376145.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.9517.02c0365f3b1665165daec0c32ac6cb20&h=bf94389adcdf&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M57
19:00-20:48,376145.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.9517.e4f5bb003fb0e18a4dd8de84912e96a2&h=646d3e2e3eda&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M58
7:40-12:30,320700.0,"LATAM Airlines, Viva Air Colombia",BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.iPJIaPv5Rj5w1Q3KrTU5Gg.8115.5d639863111c8c461f135d436d49f574&h=3e7895dc4f13&sub=E-1f0f592800b&pageOrigin=F..RP.MB.M59
16:27-22:11,345178.0,LATAM Airlines,BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.lPAzY077B9kUPBPf-jqMFw.8734.d0a22fbfe3df819fa928d036a16a5e02&h=c6eab06e0488&sub=E-1bbb0617601&pageOrigin=F..RP.MB.M60
8:42-12:30,314950.0,"LATAM Airlines, Viva Air Colombia",BOG,https://www.kayak.com.cojavascript:void(0)
