horario,precio,aerolinea,paradas,enlace
18:38-20:26,248100.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6We7wBYoN-cNUvH8T-y68A.6468.05c3494908a4886b1b6c74a5f483518c&h=fd112767c285&sub=E-1ddaabeab41&pageOrigin=F..RP.MB.M0
13:04-14:50,323050.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6We7wBYoN-cNUvH8T-y68A.8361.dcea4003a7c6b2466ba56111c255fe0b&h=2cd488ee5667&sub=E-1ddaabeab41&pageOrigin=F..RP.MB.M1
13:04-14:50,323050.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6We7wBYoN-cNUvH8T-y68A.8361.dcea4003a7c6b2466ba56111c255fe0b&h=2cd488ee5667&sub=E-1ddaabeab41&pageOrigin=F..RP.MB.M15
12:55-14:40,490063.0,LATAM Airlines,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.kUvKXh-Ch4QCTw-9KaXjEA.12400.ebbcd9513f9ff67e77f9f0236a43714c&h=ccbe7ebad778&_kw_pbranded=true&sub=E-1538f49366e&pageOrigin=F..RP.MB.M16
12:52-14:40,343050.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6We7wBYoN-cNUvH8T-y68A.8866.c3776a928d0462bf7b3a1197517291ca&h=a41da463e6ba&sub=E-1ddaabeab41&pageOrigin=F..RP.MB.M17
4:05-5:52,379050.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.6We7wBYoN-cNUvH8T-y68A.9775.f302abac4280dc83324cee1149569a68&h=55bd7d5adcc1&sub=E-1ddaabeab41&pageOrigin=F..RP.MB.M18
15:45-17:30,251141.0,"LATAM Airlines, Viva Air Colombia",directo ,https://www.kayak.com.cojavascript:void(0)
6:03-7:51,558439.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.ZheJHZqHLmzKJvcpKN_waA.14356.cc4e7601db774ddf2545a83f7657b39c&h=d7ebad3a2780&sub=E-1d00ec69479&pageOrigin=F..RP.MB.M20
15:45-17:30,423200.0,LATAM Airlines,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.kUvKXh-Ch4QCTw-9KaXjEA.12400.de2d5e016f3ce1efc507f6493750d050&h=4c34ea689e75&_kw_pbranded=true&sub=E-1538f49366e&pageOrigin=F..RP.MB.M21
12:55-14:40,304041.0,"LATAM Airlines, Viva Air Colombia",directo ,https://www.kayak.com.cojavascript:void(0)
18:38-20:26,428809.0,"Viva Air Colombia, LATAM Airlines",directo ,https://www.kayak.com.cojavascript:void(0)
18:38-20:26,798895.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.ZheJHZqHLmzKJvcpKN_waA.20456.12ff683297c44b948de1381f18e71daa&h=71ee196ae2fa&sub=E-1d00ec69479&pageOrigin=F..RP.MB.M24
13:04-14:50,873845.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.ZheJHZqHLmzKJvcpKN_waA.22357.5f6edc35bb130615ad7f1a7e022f98df&h=8d129089067d&sub=E-1d00ec69479&pageOrigin=F..RP.MB.M25
12:52-14:40,893845.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SpAie7S5Hv.ZheJHZqHLmzKJvcpKN_waA.22864.157fe711de7876c88df43dcc8bc4a954&h=8cb6cecbf239&sub=E-1d00ec69479&pageOrigin=F..RP.MB.M26
