id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1471195410513473542,1471195410513473542,"2021-12-15 14:08:14 Hora est. Pacífico, Sudamérica",2021-12-15,14:08:14,-0500,1258071590895529994,elmalpensado2,El Mal Pensado,,"Karen Abudinen Aparte del verbo abudinear, como que también es sinónimo de mala suerte",es,[],[],[],0,0,0,[],[],https://twitter.com/ElMalPensado2/status/1471195410513473542,False,,0,,,,,,,,[],,,,
1471194451511066628,1471194451511066628,"2021-12-15 14:04:25 Hora est. Pacífico, Sudamérica",2021-12-15,14:04:25,-0500,141826813,ultimahorapp,Última Hora Col,,"La exministra, Karen Abudinen, denunció ante la Corte Suprema de Justicia a la congresista @MirandaBogota y al representante León Fredy Muñoz por la palabra “abudinear”. La hoy cuestionada exfuncionaria, señaló que ambos incurrieron en los presuntos delitos de injuria y calumnia.  https://t.co/d9eFRNJ59p",es,"[{'screen_name': 'mirandabogota', 'name': 'katherine miranda 🌻 101', 'id': '70539007'}]",[],[],0,0,3,[],[],https://twitter.com/ultimahorapp/status/1471194451511066628,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1471194258602438662/pu/img/rbFnCGI59MunLpSC.jpg,,,,,,,[],,,,
1471194289267003400,1471076507401469957,"2021-12-15 14:03:46 Hora est. Pacífico, Sudamérica",2021-12-15,14:03:46,-0500,1351668104745672707,jj2299805320,JJ 22,,"@RICHENAO Estos hptas siguen creyendo que hoy en día la gente sigue tragando entero,historico lo de la abudinen ,historico lo de los mercenarios en haiti,historico ser el segundo país más desigual de Latinoamérica y el numero uno en corrupción.",es,[],[],[],0,0,0,[],[],https://twitter.com/JJ2299805320/status/1471194289267003400,False,,0,,,,,,,,"[{'screen_name': 'RICHENAO', 'name': 'Ricardo Henao Calderón', 'id': '523793509'}]",,,,
1471193559105744897,1471169439911526405,"2021-12-15 14:00:52 Hora est. Pacífico, Sudamérica",2021-12-15,14:00:52,-0500,349130806,rodrigomonto,Rodrigo M.,,"@elespectador La señora Abudinen puede decir hasta misa pero en el imaginario popular ella es y será una corrupta y pasará a la historia como la originaria de la palabra abudinear, es decir, robar. Es tan estúpida que con esa demanda su nombre volverá a la palestra como ladrona.",es,[],[],[],0,0,0,[],[],https://twitter.com/rodrigomonto/status/1471193559105744897,False,,0,,,,,,,,"[{'screen_name': 'elespectador', 'name': 'elespectador', 'id': '14834302'}]",,,,
1471193069642989577,1471062552897634307,"2021-12-15 13:58:55 Hora est. Pacífico, Sudamérica",2021-12-15,13:58:55,-0500,1599821450,ajg_csar,CésarGómez,,@mariomelo11art @EnTuLlagaMiDedo @gonzalo64544812 Ahí están en la cárcel los del consorcio que robaron el dinero y los contratos les decretó caducidad la ex ministra Abudinen.,es,[],[],[],1,0,0,[],[],https://twitter.com/ajg_csar/status/1471193069642989577,False,,0,,,,,,,,"[{'screen_name': 'mariomelo11art', 'name': 'Mario Melo 11 Art', 'id': '2511489798'}, {'screen_name': 'EnTuLlagaMiDedo', 'name': 'Juego de Letras', 'id': '786694297148096512'}, {'screen_name': 'gonzalo64544812', 'name': 'gonzalo ramon ', 'id': '1327788494'}]",,,,
1471192838796894209,1471167308785922049,"2021-12-15 13:58:00 Hora est. Pacífico, Sudamérica",2021-12-15,13:58:00,-0500,783126902743638016,bautistaandr,Andrés Enrique,,@elespectador Karen Abudinen es una hijueputa cínica.,es,[],[],[],0,0,1,[],[],https://twitter.com/BautistaAndr/status/1471192838796894209,False,,0,,,,,,,,"[{'screen_name': 'elespectador', 'name': 'elespectador', 'id': '14834302'}]",,,,
1471192781381152775,1471163714753683457,"2021-12-15 13:57:47 Hora est. Pacífico, Sudamérica",2021-12-15,13:57:47,-0500,3173411759,raulcas31122301,Raul Castillo,,"@MirandaBogota @karenabudi Los pájaros tirándole a las escopetas, que sinvergüenza y cínica la Karen Abudinen. Presiento esa funcionaria abudineadora, está fuera de sus cabales, y con buena plata.",es,[],[],[],0,0,0,[],[],https://twitter.com/RaulCas31122301/status/1471192781381152775,False,,0,,,,,,,,"[{'screen_name': 'MirandaBogota', 'name': 'Katherine Miranda 🌻 101', 'id': '70539007'}, {'screen_name': 'karenabudi', 'name': 'Karen Abudinen', 'id': '155428489'}]",,,,
1471192003140542472,1471084153336705027,"2021-12-15 13:54:41 Hora est. Pacífico, Sudamérica",2021-12-15,13:54:41,-0500,2342008592,dcarrillo90,Diego Carrillo,,"@Mramirez_ss La única opción 🚴🚴 sin embargo, precaución y alerta con los abudinen*",es,[],[],[],0,0,0,[],[],https://twitter.com/dcarrillo90/status/1471192003140542472,False,,0,,,,,,,,"[{'screen_name': 'Mramirez_ss', 'name': 'STIVEN RAMIREZ', 'id': '999267564399288320'}]",,,,
1471191862895648770,1471191204188635144,"2021-12-15 13:54:08 Hora est. Pacífico, Sudamérica",2021-12-15,13:54:08,-0500,174306368,tocarymirar,Daniel Figueroa,,@simangeo o los ves escoltando a la rata apestosa de Karen Abudinen  https://t.co/DqNW9BeSFi,es,[],[],['https://pbs.twimg.com/media/FGq5BXNXsA4RUkr.jpg'],0,1,1,[],[],https://twitter.com/tocarymirar/status/1471191862895648770,False,,1,https://pbs.twimg.com/media/FGq5BXNXsA4RUkr.jpg,,,,,,,"[{'screen_name': 'simangeo', 'name': 'GEORGE ISAAC SIMAN🇵🇸🇵🇸🇵🇸🇨🇴🇨🇴🇨🇴', 'id': '267921417'}]",,,,
1471191837574680583,1471191837574680583,"2021-12-15 13:54:02 Hora est. Pacífico, Sudamérica",2021-12-15,13:54:02,-0500,222891090,m_arrrcv,MariaC.,,La pelea entre Karen Abudinen y Katherine Miranda es como ver la pelea de Peppa Pig y Tasha de Backyardigans con música de Linkin Park de fondo.,es,[],[],[],0,0,0,[],[],https://twitter.com/m_arrrcv/status/1471191837574680583,False,,0,,,,,,,,[],,,,
