Created at;Description;Followers Count;Friends Count;Location;Profile Image Url;Statuses Count;Text;User ID;User Name
Tue Nov 30 12:17:34 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;RT @Ivonne_FARC: 2016-2021. 🔥 https://t.co/TAQ0fPlfXt;1.4656562450466816e+18;Janick Alberto
Mon Nov 29 20:55:59 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;😍😍😍😍😍😍🐐🐐🐐 https://t.co/tx1djy5Pl1;1.465424321074053e+18;Janick Alberto
Mon Nov 29 00:44:55 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;Sin mencionar que la libra de queso costeño está casi en 10 mil!!! @IvanDuque hptaaaa https://t.co/btqkvErhoy;1.4651195488190054e+18;Janick Alberto
Sun Nov 28 01:54:36 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;RT @datoatipico: El pan a 600, el dólar a 4.000, el hierro tres veces más caro, no hay producción de materiales para la construcción, los a…;1.4647746962857492e+18;Janick Alberto
Sat Nov 27 18:01:16 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;Uribe, Sarmiento Angulo y toda esa parranda de hptas que viven y seguirán viviendo de los bobos que votan por sus c… https://t.co/PuQqDQVdaV;1.4646555774732452e+18;Janick Alberto
Sat Nov 27 17:48:32 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;El Duvancho la clava como le queda en la Atalanta. Ay que fuera la selección...;1.464652375545856e+18;Janick Alberto
Sat Nov 27 13:43:18 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;RT @QuinteroCalle: La oposición en Medellín representada en el pacto de Chuscalito por el Uribismo y el Fajardismo se unieron para defender…;1.4645906583631421e+18;Janick Alberto
Sat Nov 27 13:24:25 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;RT @nilsonagu: Buenos días Colombia, país donde mintrasporte anuncia 18 nuevos peajes por toda Colombia, y así dicen que Petro es el que va…;1.464585907185533e+18;Janick Alberto
Fri Nov 26 15:29:25 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;Veme a este triple... se ha especializado este gobierno en desacatar las órdenes de los jueces. Ay donde fuera un g… https://t.co/r0gnNFmd2Z;1.4642549748467139e+18;Janick Alberto
Thu Nov 25 11:48:30 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;"RT @FCBarcelona_es: 1 año sin ti.

El mundo del fútbol te echa de menos, Diego. https://t.co/2l80gnZhL8";1.4638369915571446e+18;Janick Alberto
Wed Nov 24 12:54:09 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;RT @fdbedout: El desprestigio del Congreso es muy grave para la democracia en Colombia,de las ramas del poder público debería ser la más ce…;1.4634911261581394e+18;Janick Alberto
Wed Nov 24 11:33:14 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;"RT @Matador000: Querido y sangriento presidente eterno, lo que no ha habido nunca es paz en tu corazón.
Vives de la muerte, de la guerra, d…";1.4634707608324751e+18;Janick Alberto
Tue Nov 23 21:54:22 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;"Mucha garra de este Barça de Xavi, con la misma plantilla que el mediocre de  @RonaldKoeman decía ""es lo que hay"".… https://t.co/U8LyOOjcLk";1.4632646892704973e+18;Janick Alberto
Tue Nov 23 21:40:40 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;Lo que sería Dembelé sin tantas lesiones. Dios mío.;1.4632612424627732e+18;Janick Alberto
Sun Nov 21 04:19:35 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;La alegría que me produce ver a Xavi ahí... 💙❤ https://t.co/iVbOYUoPC7;1.4622744664158781e+18;Janick Alberto
Sat Nov 20 21:59:17 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;Bien sufrida esa primera victoria de Xavi. Hay que pulir varios temas en defensa, pero la sensación es distinta a l… https://t.co/1J8CiVUsaI;1.4621787616553943e+18;Janick Alberto
Sat Nov 20 20:44:09 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;RT @LUISEROLAVE: Las casas se las llevó el río. Familias Afro e Indígenas perdieron todo en el Alto y Medio Baudó. #SOSChocó https://t.co/C…;1.462159854932476e+18;Janick Alberto
Fri Nov 19 19:26:01 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;Un discurso bien distinto al del mediocre de Koeman. https://t.co/ASYDR5DjUm;1.4617778013931848e+18;Janick Alberto
Fri Nov 19 14:01:06 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;RT @pili_quintana: ¡Pillen lo que incorporó el diccionario de la RAE! 💥 https://t.co/Ophebjg4lc;1.461696033575129e+18;Janick Alberto
Fri Nov 19 03:38:13 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;Sólo a la Policía colombiana se le ocurren semejantes estupideces. Cuánta vergüenza. https://t.co/sodXpGosU7;1.4615392822298092e+18;Janick Alberto
Wed Nov 17 03:31:09 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;OIGA AL OTRO 🤦🏾‍♂️🤦🏾‍♂️ https://t.co/o9yvbXmcAU;1.460812726851285e+18;Janick Alberto
Wed Nov 17 03:28:40 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;RT @SoyAndresParra: Ahí están las heces de bien…;1.4608121021852344e+18;Janick Alberto
Wed Nov 17 01:11:23 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;Tan maluco está el tema de la selección, que hasta estoy extrañando a Pecuekerman. Es que no podés enlazar 5 partid… https://t.co/OkqA7Y9j4S;1.4607775524238377e+18;Janick Alberto
Wed Nov 17 00:59:11 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;Ya es decepcionante que un técnico de la categoría de Reinaldo Rueda no encuentre la forma de ganarle a equipos que… https://t.co/zBTBFB14zF;1.4607744844540887e+18;Janick Alberto
Wed Nov 17 00:56:36 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;La falta de ideas de Colombia dd cara al gol. Llegadas hay, falta es meterla. Qué hpta desespero.;1.4607738335861924e+18;Janick Alberto
Tue Nov 16 23:36:40 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;Llega Colombia, pero sin claridad. Hay que afinar un poco las ideas allá arriba.;1.4607537186563154e+18;Janick Alberto
Tue Nov 16 22:36:13 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;RT @DCoronell: #ElReporteCoronell Los pasajeros frecuentes, y no justificados, del avión presidencial  https://t.co/qD903YBUBR a través de…;1.4607385058821489e+18;Janick Alberto
Sat Nov 13 20:00:41 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;Qué buen hilo 👇🏾 https://t.co/fMLHcAHpIL;1.4596122004112712e+18;Janick Alberto
Sat Nov 13 02:34:12 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;RT @FCBarcelona_es: Ese toque... 😍 https://t.co/PmjXovU8gs;1.4593488424034796e+18;Janick Alberto
Sat Nov 13 02:28:18 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;RT @IvanCepedaCast: Este gobierno es cada vez más despreciable. Ahora, en su desespero por legitimar su maniobra clientelar para las elecci…;1.4593473609124454e+18;Janick Alberto
