Title,Type,Price,Score,Link
HERMOSO APARTAMENTO CARAMEL,Apartamento de 2 dormitorios,1918800,Sin puntos,https://www.booking.com/hotel/co/hermoso-apartamento-caramel.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-07&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=distance_from_search&srpvid=22756e90660702ab&srepoch=1651592610&all_sr_blocks=825617601_346990689_2_0_0&highlighted_blocks=825617601_346990689_2_0_0&matching_block_id=825617601_346990689_2_0_0&sr_pri_blocks=825617601_346990689_2_0_0__191880000&from=searchresults#hotelTmpl
posada shang giovis rincon,Habitación Familiar con baño privado,1680000,Sin puntos,https://www.booking.com/hotel/co/posada-shang-giovis-rincon.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-07&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=distance_from_search&srpvid=22756e90660702ab&srepoch=1651592610&all_sr_blocks=845574501_351523320_2_0_0&highlighted_blocks=845574501_351523320_2_0_0&matching_block_id=845574501_351523320_2_0_0&sr_pri_blocks=845574501_351523320_2_0_0__168000000&from=searchresults#hotelTmpl
Hostal Palo Alto,Habitación Compartida Mixta - 4 camas,720000,"8,7",https://www.booking.com/hotel/co/hostal-palo-alto-san-andres.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-07&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=distance_from_search&srpvid=22756e90660702ab&srepoch=1651592610&all_sr_blocks=721021908_346667597_2_0_0&highlighted_blocks=721021908_346667597_2_0_0&matching_block_id=721021908_346667597_2_0_0&sr_pri_blocks=721021908_346667597_2_0_0__72000000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Caribean Paradise 1,Apartamento de 1 dormitorio,972000,10,https://www.booking.com/hotel/co/caribean-paradise-1-san-andres1.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-07&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=distance_from_search&srpvid=22756e90660702ab&srepoch=1651592610&all_sr_blocks=761849801_333317517_2_0_0&highlighted_blocks=761849801_333317517_2_0_0&matching_block_id=761849801_333317517_2_0_0&sr_pri_blocks=761849801_333317517_2_0_0__97200000&from=searchresults#hotelTmpl
Aparta Suite Villa Roko,Habitación con cama grande y vistas al jardín,1200000,"9,6",https://www.booking.com/hotel/co/posada-villa-roko.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-07&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=distance_from_search&srpvid=22756e90660702ab&srepoch=1651592610&all_sr_blocks=827138001_351247872_2_0_0&highlighted_blocks=827138001_351247872_2_0_0&matching_block_id=827138001_351247872_2_0_0&sr_pri_blocks=827138001_351247872_2_0_0__120000000&from=searchresults#hotelTmpl
Hospedaje Solymar Sarie Bay,Habitación Doble,1800000,"9,3",https://www.booking.com/hotel/co/solymarislas-i.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-07&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=distance_from_search&srpvid=22756e90660702ab&srepoch=1651592610&all_sr_blocks=198088101_285093157_2_0_0&highlighted_blocks=198088101_285093157_2_0_0&matching_block_id=198088101_285093157_2_0_0&sr_pri_blocks=198088101_285093157_2_0_0__180000000&from=searchresults#hotelTmpl
Apartamentos Yinnam Arrieta,Apartamento,1620000,"8,8",https://www.booking.com/hotel/co/apartamento-yinnam-arrieta-301.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-07&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=distance_from_search&srpvid=22756e90660702ab&srepoch=1651592610&all_sr_blocks=225113902_135804750_2_0_0&highlighted_blocks=225113902_135804750_2_0_0&matching_block_id=225113902_135804750_2_0_0&sr_pri_blocks=225113902_135804750_2_0_0__162000000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hotel Oceano Paradise San Andrés,Habitación Deluxe,1080000,"7,8",https://www.booking.com/hotel/co/oceano-paradise.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-07&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=distance_from_search&srpvid=22756e90660702ab&srepoch=1651592610&all_sr_blocks=813121801_343637763_2_1_0&highlighted_blocks=813121801_343637763_2_1_0&matching_block_id=813121801_343637763_2_1_0&sr_pri_blocks=813121801_343637763_2_1_0__108000000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
down town apartamento,Habitación Doble,1380000,"7,3",https://www.booking.com/hotel/co/sarie-bay-down-town-apartamentos.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-07&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=distance_from_search&srpvid=22756e90660702ab&srepoch=1651592610&all_sr_blocks=718719506_341388704_2_0_0&highlighted_blocks=718719506_341388704_2_0_0&matching_block_id=718719506_341388704_2_0_0&sr_pri_blocks=718719506_341388704_2_0_0__138000000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Island reef 2,Apartamento de 2 dormitorios,2940000,"7,9",https://www.booking.com/hotel/co/island-reef-2.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-07&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=distance_from_search&srpvid=22756e90660702ab&srepoch=1651592610&all_sr_blocks=741150501_329045256_3_0_0&highlighted_blocks=741150501_329045256_3_0_0&matching_block_id=741150501_329045256_3_0_0&sr_pri_blocks=741150501_329045256_3_0_0__294000000&from=searchresults#hotelTmpl
