Title,Type,Price,Score,Link
Tropical Breeze Aeropuerto,Habitación Doble Estándar,889200,"9,0",https://www.booking.com/hotel/co/tropical-breeze-aeropuerto.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=distance_from_search&srpvid=61e46f018986021d&srepoch=1651592836&all_sr_blocks=444604301_133315399_2_0_0&highlighted_blocks=444604301_133315399_2_0_0&matching_block_id=444604301_133315399_2_0_0&sr_pri_blocks=444604301_133315399_2_0_0__88920000&from=searchresults#hotelTmpl
Inn Bless Aparthotel,Habitación Doble con baño privado,688500,"8,0",https://www.booking.com/hotel/co/inn-bless-apartment.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=distance_from_search&srpvid=61e46f018986021d&srepoch=1651592836&all_sr_blocks=230650403_99951873_2_0_0&highlighted_blocks=230650403_99951873_2_0_0&matching_block_id=230650403_99951873_2_0_0&sr_pri_blocks=230650403_99951873_2_0_0__68850000&from=searchresults#hotelTmpl
Decameron Isleño - All Inclusive,Habitación Doble,5693880,"7,6",https://www.booking.com/hotel/co/el-islea-o-by-decameron.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=distance_from_search&srpvid=61e46f018986021d&srepoch=1651592836&all_sr_blocks=81701302_335401155_2_85_0&highlighted_blocks=81701302_335401155_2_85_0&matching_block_id=81701302_335401155_2_85_0&sr_pri_blocks=81701302_335401155_2_85_0__569387400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Apartamento 12 de Abril,Apartamento de 3 dormitorios,1260000,"8,0",https://www.booking.com/hotel/co/alojamiento-12-de-abril.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=distance_from_search&srpvid=61e46f018986021d&srepoch=1651592836&all_sr_blocks=825776801_347029941_6_0_0&highlighted_blocks=825776801_347029941_6_0_0&matching_block_id=825776801_347029941_6_0_0&sr_pri_blocks=825776801_347029941_6_0_0__126000000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Apartamentos Katy,Apartamento de 2 dormitorios,1080000,"9,0",https://www.booking.com/hotel/co/apartamentos-katy.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=distance_from_search&srpvid=61e46f018986021d&srepoch=1651592836&all_sr_blocks=159532607_98634674_5_0_0&highlighted_blocks=159532607_98634674_5_0_0&matching_block_id=159532607_98634674_5_0_0&sr_pri_blocks=159532607_98634674_5_0_0__108000000&from=searchresults#hotelTmpl
Posada Turística Miss Geidy,Habitación Triple Básica,720000,"8,6",https://www.booking.com/hotel/co/posada-nativa-miss-geidy.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=distance_from_search&srpvid=61e46f018986021d&srepoch=1651592836&all_sr_blocks=100600003_295577857_0_0_0&highlighted_blocks=100600003_295577857_0_0_0&matching_block_id=100600003_295577857_0_0_0&sr_pri_blocks=100600003_295577857_0_0_0__72000000&from=searchresults#hotelTmpl
Ocean Blue Beach,Habitación Doble Económica,880000,"8,1",https://www.booking.com/hotel/co/apartamentos-ocean-blue.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=distance_from_search&srpvid=61e46f018986021d&srepoch=1651592836&all_sr_blocks=296653109_329325224_2_42_0&highlighted_blocks=296653109_329325224_2_42_0&matching_block_id=296653109_329325224_2_42_0&sr_pri_blocks=296653109_329325224_2_42_0__88000000&from=searchresults#hotelTmpl
SWEET BREEZE,Apartamento de 1 dormitorio,716000,"9,7",https://www.booking.com/hotel/co/sweet-breeze.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=distance_from_search&srpvid=61e46f018986021d&srepoch=1651592836&all_sr_blocks=682342301_279064315_2_0_0&highlighted_blocks=682342301_279064315_2_0_0&matching_block_id=682342301_279064315_2_0_0&sr_pri_blocks=682342301_279064315_2_0_0__71600000&from=searchresults#hotelTmpl
White Coral ApartaSuites,Suite Junior de 1 dormitorio ,2620040,"8,6",https://www.booking.com/hotel/co/red-coral-aparta-suites.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=distance_from_search&srpvid=61e46f018986021d&srepoch=1651592836&all_sr_blocks=120240502_89189688_2_0_0&highlighted_blocks=120240502_89189688_2_0_0&matching_block_id=120240502_89189688_2_0_0&sr_pri_blocks=120240502_89189688_2_0_0__262002400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Apartamento Miss Brigida,Apartamento 22 ,1120000,"8,7",https://www.booking.com/hotel/co/apartamento-miss-brigida.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=distance_from_search&srpvid=61e46f018986021d&srepoch=1651592836&all_sr_blocks=85765714_335402365_2_0_0&highlighted_blocks=85765714_335402365_2_0_0&matching_block_id=85765714_335402365_2_0_0&sr_pri_blocks=85765714_335402365_2_0_0__112000000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
