Created at;Favorites;Friends Count;Internal Links;Location;Status ID;Text;User;User ID;User Name;Verified account;Zone;urls
Thu Dec 16 22:06:37 +0000 2021;3444.0;768.0;;Bogotá, D.C., Colombia;1471602692657139713;;CamiloTorres925;3370067212.0;Camilo Torres;0.0;;[{'url': 'https://t.co/GNyjBDDvoU', 'expanded_url': 'https://twitter.com/i/web/status/1471602692657139713', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]
Thu Dec 16 22:06:36 +0000 2021;106944.0;3928.0;;Bogotá, D.C., Colombia;1471602689872207880;"""Petro nos pondrá a aguantar hambre""

Julio de 48 años, recoge reciclaje, come dos veces al día y votó por Ivan Duque en el 2018.";AlexCam85288100;9.585077263043133e+17;Alex Camacho;0.0;;[]
Thu Dec 16 22:06:33 +0000 2021;134.0;657.0;;;1471602675150200836;;CuartoAlcala;1.151894658072662e+18;Enrique Cuarto Torres Alcalá;0.0;;[]
Thu Dec 16 22:06:32 +0000 2021;12942.0;5000.0;;pereira;1471602671358513156;Los mejores Planes de Gobierno del país son los de la Gobernación del Magdalena y el de la Alcaldía de Medellín. ¿Ven por qué Iván Duque y el Uribismo odia tanto a estos gobiernos?;Andresgisi;539338201.0;Andrés Giraldo;0.0;;[]
Thu Dec 16 22:06:31 +0000 2021;65360.0;4990.0;;Bogotá, Colombia;1471602665855623170;"La comisión de impunidad presidencial informa: 

Cámara archivó investigación contra el presidente Duque por el caso de la ‘Ñeñepolítica’  https://t.co/hfabyGn0Dg";wihernan;156965455.0;WIL;0.0;;[]
Thu Dec 16 22:06:31 +0000 2021;32558.0;359.0;;;1471602665465397251;;carbon_santiago;1.2473181692173066e+18;Santiago Carbon;0.0;;[]
Thu Dec 16 22:06:28 +0000 2021;233794.0;5354.0;;;1471602656271556615;Este mamarracho fascista no dice nada del reciente informe de la Oficina de Derechos Humanos de la ONU donde se confirma que al menos 28 muertes durante el Paro Nacional fue por represión de la Policía a la orden de Duque https://t.co/euBhLvQsdX;jmvillarroya;165104029.0;jose mig villarroya;0.0;;[]
Thu Dec 16 22:06:28 +0000 2021;6025.0;1120.0;;En algún lugar de un Gran País;1471602652442206209;;ColomBOgoss;1.258512815142441e+18;Jorge Colombia;0.0;;[{'url': 'https://t.co/3Gq217bia6', 'expanded_url': 'https://www.infobae.com/america/colombia/2020/10/23/eso-es-montaje-le-dicen-a-duque-tras-anunciar-la-destruccion-de-un-laboratorio-de-coca/', 'display_url': 'infobae.com/america/colomb…', 'indices': [103, 126]}]
Thu Dec 16 22:06:19 +0000 2021;18363.0;349.0;http://t.co/oPrZUuhxMd;En un lugar llamado mundo;1471602617222582275;"Duque es este #mestizo de 1 añito y medio. Lleva en el refugio desde que tenía 6 meses y #nadie ha preguntado por él. Ya es hora de que encuentre la #familia que tanto merece. ¿Nos ayudas?. Más info:

https://t.co/TalA6E1x0o

#adopta #protectora #rt https://t.co/kopwu8lbDx";irgopi88;1587885020.0;Irene;0.0;;[]
Thu Dec 16 22:06:18 +0000 2021;40665.0;472.0;;Bucaramanga Colombia;1471602612986339333;A Francisco Barbosa Segundo, fiscal del presidente Duque, le concedieron hoy un tour de entrevistas acríticas para decir, sin bases fácticas, jurídicas, ni éticas, que @NoticiasUno ni siquiera es un noticiero, que lo ha calumniado e injuriado mintiendo sobre él. Mintió;hemarbe46;2552837970.0;@hector.martinez;0.0;;[]
Thu Dec 16 22:06:16 +0000 2021;2712.0;195.0;;Miami, FL;1471602604115439620;"#DeFicoPienso que es la versión Chirrete y Chabacana de Ivan Duque. 

Un tipo frívolo y superficial que cree que gobernar es tomarse Selfies para instagram. 

Colombia no resiste otro Kardashian Style President.";Hernand68272291;1.2769092336578396e+18;Hernando;0.0;;[]
Thu Dec 16 22:06:14 +0000 2021;8130.0;249.0;;;1471602595299008521;"Álvaro Uribe denuncia a Juan Manuel Santos, por comunicarse con un Magistrado para que el patrón se mantuviera  como imputado.
Señor imputado, porqué no hace publico que César Gaviria e Iván Duque, también se comunicaron con Magistrados,  para que votarán a su favor?";Conejo6262;242380055.0;Hugo Fernando Colmenares solano;0.0;;[]
