Created at;Favorites;Friends Count;Internal Links;Location;Status ID;Text;User;User ID;User Name;Verified account;Zone;urls
Wed May 04 02:01:22 +0000 2022;16566.0;1076.0;;bogota;1521671294772727811;Aída Merlano aseguró que $6 mil millones de Julio Gerlein entraron a la campaña de Duque. https://t.co/AjK61zn1WQ;Gustavo686;114049251.0;Gustavo Lugo;0.0;;[{'url': 'https://t.co/AjK61zn1WQ', 'expanded_url': 'https://m.elcolombiano.com/colombia/aida-merlano-asegura-que-seis-mil-millones-de-pesos-de-julio-gerlein-entraron-a-campana-de-ivan-duque-BD17369109', 'display_url': 'm.elcolombiano.com/colombia/aida-…', 'indices': [108, 131]}]
Wed May 04 02:01:21 +0000 2022;141730.0;1189.0;;;1521671290721087489;"Aida Meelano ratifica la compra de votos en la Costa Caribe para Iván Duque en 2018.

Y ya todo el país sabe que Gutiérrez también está comprando votos en estos momentos.

No se podía esperar otra cosa de Duque 2.";LOZANOMARMO;2199479302.0;OSWALDO LOZANO;0.0;;[]
Wed May 04 02:01:18 +0000 2022;357404.0;2926.0;;;1521671278339448832;4 años tuvo Iván Duque para haberle subido los ingresos a los policías, pero lo hace justo a 3 meses de terminar su mandato y en plena campaña presidencial con miembros de la fuerza pública participando en política. Este tipo de acciones siguen alimentando un Golpe de Estado;MAGUSIMPULSUS;2932687377.0;MAGUSIMPULSUS;0.0;;[]
Wed May 04 02:01:18 +0000 2022;1237.0;632.0;;Venezuela;1521671276305301504;"@dcabellor @ConElMazoDando Yo no quiero meter casquillo...peroooo al señor Ivan Duque lo rechazan 8 de cada 10 colombianos; no lo digo 👇😳 https://t.co/VCCfFgTvba";Ccarneiro2P;1.5017180611159122e+18;CCARNEIRO2 & PETROLEROS DE LA PATRIA;0.0;;[]
Wed May 04 02:01:16 +0000 2022;166595.0;680.0;;la ceja, Antioquia ;1521671270231814144;El silencio de Federico Gutiérrez y de su jefe de campaña, Iván Duque, sobre el plan para atentar contra @petrogustavo, revela su estatura moral.;juantobonc;7.835039593108849e+17;Juan Felipe;0.0;;[]
Wed May 04 02:01:14 +0000 2022;181.0;208.0;;;1521671262279548928;"Mientras el candidato Petro ataca la Policía y el Senador Gustavo Bolívar propone acabar el ESMAD, el Presidente Iván Duque acaba de firmar el decreto que ordena el aumento salarial más alto desde 1993 a los miembros de la Policía Nacional.

¡Dios y Patria!";ARMANDOJMUNERA1;1.517323122717905e+18;ARMANDO J MUNERA;0.0;;[]
Wed May 04 02:01:12 +0000 2022;29804.0;936.0;;;1521671250648735746;Aida Merlano acaba de asegurar que la campaña del presidente Iván Duque en 2018 recibió 6 mil millones de pesos de Julio Gerlein. Los magistrados de la @CorteSupremaJ le hicieron jurar para que no estuviera incurriendo en falso testimonio;quinonesporras1;1.4342187247399813e+18;Omar Quiñones Porras;0.0;;[]
Wed May 04 02:01:09 +0000 2022;11210.0;1311.0;;Santiago, Chile;1521671238833213440;"Mientras el candidato Petro ataca la Policía y el Senador Gustavo Bolívar propone acabar el ESMAD, el Presidente Iván Duque acaba de firmar el decreto que ordena el aumento salarial más alto desde 1993 a los miembros de la Policía Nacional.

¡Dios y Patria!";rosarenacer;218144593.0;rosa worm;0.0;;[]
Wed May 04 02:01:09 +0000 2022;280817.0;3737.0;;Colombia;1521671238355238913;Aida Merlano declaró ante la Corte Suprema de Justicia y aseguró que Julio Gerlein entregó 6 mil millones de pesos a la campaña de Iván Duque. Entonces ¿así ganaron las elecciones hace 4 años? ¿Comprando votos y apoyando la corrupción? Ni un voto más por los mismos de siempre.;Ralfklein1201;4443912760.0;Ralfklein  🥑🐝;0.0;;[]
Wed May 04 02:01:08 +0000 2022;31005.0;640.0;;Riohacha, Colombia;1521671237394743297;Aída Merlano aseguró que $6 mil millones de Julio Gerlein entraron a la campaña de Duque. https://t.co/AjK61zn1WQ;ChJ52341874;1.1357339102923735e+18;Ch.J;0.0;;[{'url': 'https://t.co/AjK61zn1WQ', 'expanded_url': 'https://m.elcolombiano.com/colombia/aida-merlano-asegura-que-seis-mil-millones-de-pesos-de-julio-gerlein-entraron-a-campana-de-ivan-duque-BD17369109', 'display_url': 'm.elcolombiano.com/colombia/aida-…', 'indices': [108, 131]}]
